=> #<File:finalfinal.csv>
,M11,false,0,0,0,2430,2017-02-20 17:46:46 UTC,,0
,M21,false,0,0,0,2042,2017-02-20 17:47:03 UTC,,0
,M12,false,0,0,0,9764,2017-02-20 17:52:40 UTC,,0
,M22,false,0,0,0,1410,2017-02-20 18:46:31 UTC,,0
,M22,false,0,0,0,2101,2017-02-20 18:46:36 UTC,,0
,M12,false,0,0,0,10188,2017-02-20 19:28:26 UTC,,0
,M11,false,0,0,0,1400,2017-02-26 23:07:30 UTC,,0
Scott Taylor,M11,true,1,26,5,6934,2017-02-26 23:07:39 UTC,Judge given award for ‘selfless’ contributions,0
,M41,false,0,0,0,3188,2017-03-01 00:30:54 UTC,,0
Larry Miller,M41,true,1,450,0,2731,2017-03-01 00:30:58 UTC,Judge pulls double duty as volunteer firefighter,0
,M41,false,0,0,0,2884,2017-03-01 00:31:01 UTC,,0
Larry Miller,M41,false,0,461,0,2094,2017-03-01 00:31:04 UTC,Intelius,0
,M12,false,0,0,0,9942,2017-02-20 17:48:46 UTC,,0
,M11,false,0,0,0,8062,2017-02-20 17:57:02 UTC,,0
,M11,false,0,0,0,7928,2017-02-20 22:12:20 UTC,,0
Scott Taylor,M11,false,2,22,4,7548,2017-02-20 22:12:30 UTC,Judge falls asleep during Nicholas Sheley murder trial ,0
,M11,false,0,0,0,108780,2017-02-20 22:14:20 UTC,,0
Scott Taylor,M11,false,2,22,4,2722,2017-02-20 22:14:24 UTC,Judge falls asleep during Nicholas Sheley murder trial ,0
,L21,false,0,0,0,13790,2017-02-22 22:15:45 UTC,,0
George Harris,L21,true,2,214,2,43260,2017-02-22 22:16:31 UTC,You are stupid': Judge 'insulted and demeaned' lawyer in courtroom clashes,0
,L21,false,0,0,0,22409,2017-02-22 22:16:53 UTC,,0
George Harris,L21,false,1,216,7,24565,2017-02-22 22:17:18 UTC,Judge donates used trial exhibit binders to students,0
,L21,false,0,0,0,8413,2017-02-22 22:17:27 UTC,,0
George Harris,L21,false,1,222,15,18701,2017-02-22 22:17:46 UTC,Judge uses mouth-to-mouth to save man's life,0
,L21,false,0,0,0,1678,2017-02-22 22:17:48 UTC,,0
George Harris,L21,false,0,219,13,6981,2017-02-22 22:17:56 UTC,PeopleFinder,0
,L21,false,0,0,0,10843,2017-02-22 22:18:07 UTC,,0
,L21,false,0,0,0,24925,2017-02-22 22:18:39 UTC,,0
Larry Miller,L21,false,2,204,9,151287,2017-02-22 22:21:12 UTC,Miller hit over flight splurge,0
,L21,false,0,0,0,33032,2017-02-22 22:21:45 UTC,,0
Larry Miller,L21,true,1,192,14,3435,2017-02-22 22:21:49 UTC,Judge Miller saves colleague’s life with kidney donation,0
,L21,false,0,0,0,5978,2017-02-22 22:21:55 UTC,,0
Larry Miller,L21,true,1,192,14,690,2017-02-22 22:21:57 UTC,Judge Miller saves colleague’s life with kidney donation,0
,L21,false,0,0,0,1545,2017-02-22 22:21:58 UTC,,0
Larry Miller,L21,true,1,196,12,693,2017-02-22 22:22:00 UTC,Judge donates to victims of local fire,0
,L21,false,0,0,0,2419,2017-02-22 22:22:02 UTC,,0
Larry Miller,L21,true,1,194,2,947,2017-02-22 22:22:04 UTC,Judge pulls double duty as volunteer firefighter,0
,L21,false,0,0,0,3644,2017-02-22 22:22:08 UTC,,0
Larry Miller,L21,true,1,192,14,912,2017-02-22 22:22:09 UTC,Judge Miller saves colleague’s life with kidney donation,0
,L21,false,0,0,0,12939,2017-02-22 22:22:22 UTC,,0
Larry Miller,L21,true,1,192,14,2337,2017-02-22 22:22:24 UTC,Judge Miller saves colleague’s life with kidney donation,0
,L22,false,0,0,0,27320,2017-02-22 22:24:44 UTC,,0
Henry Brown,L22,false,2,232,5,40501,2017-02-22 22:25:25 UTC,Brown gave average of $369 to charity a year,0
,L22,false,0,0,0,2258,2017-02-22 22:25:28 UTC,,0
Henry Brown,L22,true,1,226,6,20980,2017-02-22 22:25:49 UTC,Judge Brown and Food City honored by Boys & Girls Clubs ,0
,L22,false,0,0,0,9328,2017-02-22 22:25:59 UTC,,0
Henry Brown,L22,false,2,238,9,34993,2017-02-22 22:26:35 UTC,Judge provokes ire with ‘Legitimate Rape’ comments,0
,L22,false,0,0,0,5832,2017-02-22 22:26:41 UTC,,0
Henry Brown,L22,false,2,234,4,31907,2017-02-22 22:27:13 UTC,Judge reprimanded for calling parents 'rotten,' 'stupid',0
,L22,false,0,0,0,13911,2017-02-22 22:27:36 UTC,,0
Keith Lewis,L22,false,1,252,0,19146,2017-02-22 22:27:56 UTC,Heroin addict thanks judge for saving her life,0
,L22,false,0,0,0,56846,2017-02-22 22:28:53 UTC,,0
Keith Lewis,L22,true,2,244,0,14502,2017-02-22 22:29:09 UTC,Lewis sent cyclist flying with his car door, video shows,0
,M21,false,0,0,0,13065,2017-02-22 22:31:56 UTC,,0
David Walker,M21,false,2,142,14,43866,2017-02-22 22:32:41 UTC,Judge allegedly drunk, assaults man,0
,M21,false,0,0,0,3962,2017-02-22 22:32:45 UTC,,0
David Walker,M21,false,2,140,8,32249,2017-02-22 22:33:17 UTC,Judge gave away his adopted child, and the tragedy that followed,0
,M21,false,0,0,0,11395,2017-02-22 22:33:36 UTC,,0
Jerry Taylor,M21,false,1,152,7,39380,2017-02-22 22:34:16 UTC,Taylor visits Haiti to perform charity eye surgery,0
,M22,false,0,0,0,19437,2017-02-22 22:38:56 UTC,,0
Walter Clark,M22,false,1,184,2,54754,2017-02-22 22:39:51 UTC,Family sets up “blessing box”,0
,M22,false,0,0,0,50716,2017-02-22 22:40:42 UTC,,0
Walter Clark,M22,false,1,188,10,22647,2017-02-22 22:41:05 UTC,Judge saves witness’ life in county courthouse,0
,M22,false,0,0,0,18102,2017-02-22 22:41:33 UTC,,0
Ronald Moore,M22,false,2,168,10,21596,2017-02-22 22:41:55 UTC,Judge Moore arrested for DUI on St. Patrick's Day,0
,M22,false,0,0,0,99400,2017-02-22 22:43:34 UTC,,0
Ronald Moore,M22,true,1,162,7,999,2017-02-22 22:43:36 UTC,Judge, friend save two boys from burning car,0
,M22,false,0,0,0,66254,2017-02-22 22:44:42 UTC,,0
,M22,false,0,0,0,823,2017-03-20 20:24:27 UTC,,0
